fen|mv|mv_score|bmv|bmv_score|difs
1nbqk2r/r4pb1/p2p1p1p/1ppBp3/3PP3/2P1BN2/PP3PPP/R2QK2R b KQk - 0 11|d3d4|216|f3h4|251|35
1nbq1rk1/r4pb1/p2p1p1p/1ppBP3/4P3/2P1BN2/PP3PPP/R2QK2R b KQ - 0 12|d4e5|53|d4c5|304|251
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2|e7e5|-92|e7e5|-113|-21
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3|b8c6|-111|b8c6|-92|19
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4|e5d4|-47|e5d4|-67|-20
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5|c6d4|-107|f8c5|-43|64
r1bqkb1r/pppp1ppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 1 6|g8f6|-205|d7d6|-96|109
r1bqkb1r/pp1p1ppp/5n2/2p1P3/3Q4/8/PPP2PPP/RNB1KB1R w KQkq - 0 7|c7c5|-184|f6g8|-217|-33
r1bqkb1r/pp1p1ppp/8/2pnP3/5Q2/8/PPP2PPP/RNB1KB1R w KQkq - 2 8|f6d5|-201|d8e7|-133|68
r1bqkb1r/pp1p1ppp/1n6/2p1P3/8/5Q2/PPP2PPP/RNB1KB1R w KQkq - 4 9|d5b6|-287|d5c7|-162|125
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|36|g1f3|3|-33
rnbqkbnr/ppppp1pp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2|d2d4|171|d2d4|144|-27
rnbqkbnr/ppp1p1pp/5p2/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3|e4d5|160|e4d5|177|17
rnb1kbnr/ppp1p1pp/5p2/3q4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 4|b1c3|165|b1c3|155|-10
rnb1kbnr/ppp1p1pp/5p2/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 3 5|g1f3|200|a2a3|226|26
rnb1kbnr/ppp3pp/4pp2/q7/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 1 6|f1d3|164|c1d2|202|38
rnb1k1nr/ppp3pp/4pp2/q7/1b1P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 3 7|e1g1|204|e1g1|208|4
rnb1k1nr/ppp3pp/4pp2/q7/3P4/2PB1N2/P1P2PPP/R1BQ1RK1 b kq - 0 8|b2c3|176|b2c3|189|13
rnb1k1nr/ppp3pp/4pp2/8/3P4/2qBBN2/P1P2PPP/R2Q1RK1 b kq - 1 9|c1e3|109|a1b1|235|126
r1b1k1nr/ppp3pp/2n1pp2/8/3P4/2qBBN2/P1P2PPP/R3QRK1 b kq - 3 10|d1e1|-41|f3d2|149|190
r1b1k1nr/ppp3pp/2n1pp2/8/3P4/3BBN2/P1P2PPP/R3R1K1 b kq - 0 11|f1e1|-21|f1e1|-22|-1
r1b1k1nr/ppp3pp/4pp2/8/1n1P1B2/3B1N2/P1P2PPP/R3R1K1 b kq - 2 12|e3f4|-119|d3e4|22|141
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2|e7e5|-100|e7e5|-103|-3
r1bqkbnr/pppp1ppp/2n5/4p2Q/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 2 3|b8c6|45|b8c6|-17|-62
r1bqkbnr/pppp1p1p/2n3p1/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 4|g7g6|-15|d8e7|-25|-10
r1b1kbnr/ppppqp1p/2n3p1/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq - 2 5|d8e7|-64|g8f6|28|92
r1b1kbnr/ppppqp1p/6p1/4p3/2BnP3/5Q1N/PPPP1PPP/RNB1K2R w KQkq - 4 6|c6d4|210|c6d4|162|-48
r1b1kbnr/ppppq2p/6p1/4pp2/2BnP3/3Q3N/PPPP1PPP/RNB1K2R w KQkq - 0 7|f7f5|170|d7d5|177|7
r1b1kbnr/ppppq2p/6p1/4p3/2BnpP2/3Q3N/PPPP2PP/RNB1K2R w KQkq - 0 8|f5e4|558|f5e4|553|-5
r1b1kbnr/ppppq2p/4n1p1/4p3/2B1QP2/7N/PPPP2PP/RNB1K2R w KQkq - 1 9|d4e6|-112|d7d5|616|728
r1b1kbnr/ppp1q2p/4p1p1/4p3/4QP2/7N/PPPP2PP/RNB1K2R w KQkq - 0 10|d7e6|-174|e7e6|-94|80
r1b1kb1r/ppp1q2p/4p1pn/4P3/4Q3/7N/PPPP2PP/RNB1K2R w KQkq - 1 11|g8h6|-239|e7b4|-157|82
r1b1kb1r/ppp1qn1p/4p1p1/4P3/4Q3/6PN/PPPP3P/RNB1K2R w KQkq - 1 12|h6f7|-150|f8g7|-80|70
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2|e7e5|-96|e7e5|-104|-8
rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3|e5d4|-46|e5d4|-46|0
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4|b8c6|-39|g8f6|-15|24
r1bqkb1r/pppp1ppp/2n2n2/3Q4/4P3/8/PPP2PPP/RNB1KBNR w KQkq - 3 5|g8f6|81|g8f6|97|16
r1bqkb1r/pppp1ppp/2n5/8/4n3/8/PPPQ1PPP/RNB1KBNR w KQkq - 0 6|f6e4|266|f6e4|241|-25
